"","Run","library_name","Collection_Date","lib"
"256","ERR9862601","",2021-02-01,"-"
"257","ERR9862602","",2021-02-02,"-"
"258","ERR9862603","",2021-02-03,"-"
"259","ERR9862604","",2021-02-04,"-"
"260","ERR9862605","",2021-02-05,"-"
"261","ERR9862606","",2021-02-06,"-"
"262","ERR9862607","",2021-02-07,"-"
"263","ERR9862608","",2021-02-08,"-"
"264","ERR9862609","",2021-02-09,"-"
"265","ERR9862610","",2021-02-10,"-"
"266","ERR9862611","",2021-02-11,"-"
"267","ERR9862612","",2021-02-12,"-"
"268","ERR9862613","",2021-02-13,"-"
"269","ERR9862614","",2021-02-14,"-"
"270","ERR9862615","",2021-02-15,"-"
"271","ERR9862616","",2021-02-16,"-"
"272","ERR9862617","",2021-02-17,"-"
"273","ERR9862618","",2021-02-18,"-"
"274","ERR9862619","",2021-02-19,"-"
"275","ERR9862620","",2021-02-20,"-"
"276","ERR9862621","",2021-02-21,"-"
"277","ERR9862622","",2021-02-22,"-"
"278","ERR9862623","",2021-02-23,"-"
"279","ERR9862624","",2021-02-24,"-"
"280","ERR9862625","",2021-02-25,"-"
"281","ERR9862626","",2021-02-26,"-"
"282","ERR9862627","",2021-02-27,"-"
"283","ERR9862628","",2021-02-28,"-"
"284","ERR9862629","",2021-03-01,"-"
"285","ERR9862630","",2021-03-02,"-"
"286","ERR9862631","",2021-03-03,"-"
"287","ERR9862632","",2021-03-04,"-"
"288","ERR9862633","",2021-03-05,"-"
"289","ERR9862634","",2021-03-06,"-"
"290","ERR9862635","",2021-03-07,"-"
"291","ERR9862636","",2021-03-08,"-"
"292","ERR9862637","",2021-03-09,"-"
"293","ERR9862638","",2021-03-10,"-"
"294","ERR9862639","",2021-03-11,"-"
"295","ERR9862640","",2021-03-12,"-"
"296","ERR9862641","",2021-03-13,"-"
"297","ERR9862642","",2021-03-14,"-"
"298","ERR9862643","",2021-03-15,"-"
"299","ERR9862644","",2021-03-16,"-"
"300","ERR9862645","",2021-03-17,"-"
"301","ERR9862646","",2021-03-18,"-"
"302","ERR9862647","",2021-03-19,"-"
"303","ERR9862648","",2021-03-20,"-"
"304","ERR9862649","",2021-03-21,"-"
"305","ERR9862650","",2021-03-22,"-"
"306","ERR9862651","",2021-03-23,"-"
"307","ERR9862652","",2021-03-24,"-"
"308","ERR9862653","",2021-03-25,"-"
"309","ERR9862654","",2021-03-26,"-"
"310","ERR9862655","",2021-03-27,"-"
"311","ERR9862656","",2021-03-28,"-"
"312","ERR9862657","",2021-03-29,"-"
"313","ERR9862658","",2021-03-30,"-"
"314","ERR9862659","",2021-03-31,"-"
"315","ERR9862660","",2021-04-01,"-"
"316","ERR9862661","",2021-04-02,"-"
"317","ERR9862662","",2021-04-03,"-"
"318","ERR9862663","",2021-04-04,"-"
"319","ERR9862664","",2021-04-05,"-"
"320","ERR9862665","",2021-04-06,"-"
"348","ERR9862823","",2021-04-07,"-"
"350","ERR9862833","",2021-04-08,"-"
"352","ERR9862842","",2021-04-09,"-"
"354","ERR9862852","",2021-04-10,"-"
"342","ERR9862781","",2021-04-11,"-"
