"","run_accession","library_name","Collection_Date","lib"
"79","ERR12397691","SARS-CoV-2 ARTIC V3",2021-11-27,"v3"
"80","ERR12397774","SARS-CoV-2 ARTIC V3",2021-11-29,"v3"
"81","ERR12397777","SARS-CoV-2 ARTIC V3",2021-12-02,"v3"
"82","ERR12397778","SARS-CoV-2 ARTIC V3",2021-12-03,"v3"
"83","ERR12397779","SARS-CoV-2 ARTIC V3",2021-12-04,"v3"
"84","ERR12397784","SARS-CoV-2 ARTIC V3",2021-12-09,"v3"
"85","ERR12397785","SARS-CoV-2 ARTIC V3",2021-12-10,"v3"
"86","ERR12397787","SARS-CoV-2 ARTIC V3",2021-12-14,"v3"
"87","ERR12397789","SARS-CoV-2 ARTIC V4",2021-12-16,"v4"
"88","ERR12397792","SARS-CoV-2 ARTIC V4",2021-12-19,"v4"
"89","ERR12397793","SARS-CoV-2 ARTIC V4",2021-12-20,"v4"
"90","ERR12397796","SARS-CoV-2 ARTIC V4",2021-12-23,"v4"
"91","ERR12397798","SARS-CoV-2 ARTIC V4",2021-12-25,"v4"
"92","ERR12397801","SARS-CoV-2 ARTIC V3",2021-12-28,"v3"
"93","ERR12397804","SARS-CoV-2 ARTIC V3",2021-12-31,"v3"
"94","ERR12397806","SARS-CoV-2 ARTIC V3",2022-01-02,"v3"
"805","ERR12397690","SARS-CoV-2 ARTIC V3",2021-11-26,"v3"
"808","ERR12397776","SARS-CoV-2 ARTIC V3",2021-12-01,"v3"
"810","ERR12397781","SARS-CoV-2 ARTIC V3",2021-12-06,"v3"
"813","ERR12397786","SARS-CoV-2 ARTIC V3",2021-12-13,"v3"
"815","ERR12397790","SARS-CoV-2 ARTIC V4",2021-12-17,"v4"
"817","ERR12397791","SARS-CoV-2 ARTIC V4",2021-12-18,"v4"
"819","ERR12397794","SARS-CoV-2 ARTIC V4",2021-12-21,"v4"
"821","ERR12397799","SARS-CoV-2 ARTIC V4",2021-12-26,"v4"
"823","ERR12397803","SARS-CoV-2 ARTIC V3",2021-12-30,"v3"
"825","ERR12397807","SARS-CoV-2 ARTIC V4",2022-01-03,"v4"
"827","ERR12397808","SARS-CoV-2 ARTIC V4",2022-01-04,"v4"
"830","ERR12397809","SARS-CoV-2 ARTIC V4",2022-01-06,"v4"
"833","ERR12397810","SARS-CoV-2 ARTIC V4",2022-01-07,"v4"
"836","ERR12397811","SARS-CoV-2 ARTIC V4",2022-01-08,"v4"
"1451","ERR12832268","SARS-CoV-2 ARTIC V4.1",2022-07-07,"-"
"1566","ERR12832626","SARS-CoV-2 ARTIC V4.1",2022-07-11,"-"
"1687","ERR12833862","SARS-CoV-2 ARTIC V4.1",2022-07-05,"-"
"1841","ERR12834399","SARS-CoV-2 ARTIC V4.1",2022-07-02,"-"
"1964","ERR12834574","SARS-CoV-2 ARTIC V4.1",2022-06-22,"-"
"2022","ERR12834704","SARS-CoV-2 ARTIC V4.1",2022-07-01,"-"
"2214","ERR12861346","SARS-CoV-2 ARTIC V4.1",2022-06-27,"-"
"2284","ERR12865388","SARS-CoV-2 ARTIC V4.1",2022-07-26,"-"
"2299","ERR12865569","SARS-CoV-2 ARTIC V4.1",2022-06-06,"-"
"2306","ERR12865605","SARS-CoV-2 ARTIC V4.1",2022-05-26,"-"
"2307","ERR12865618","SARS-CoV-2 ARTIC V4.1",2022-05-27,"-"
"2327","ERR12865725","SARS-CoV-2 ARTIC V4.1",2022-06-21,"-"
"2337","ERR12865750","SARS-CoV-2 ARTIC V4.1",2022-06-17,"-"
"2346","ERR12865769","SARS-CoV-2 ARTIC V4.1",2022-06-08,"-"
"2351","ERR12865784","SARS-CoV-2 ARTIC V4.1",2022-06-14,"-"
"2355","ERR12865793","SARS-CoV-2 ARTIC V4.1",2022-06-13,"-"
"2359","ERR12865801","SARS-CoV-2 ARTIC V4.1",2022-06-12,"-"
